1. Input file,,,,,,,
,1-1,Distribution_line_slot_configuration_data,,6,,6,[LINE.csv]
,No,Item,Type,Number of digits,Type,Number of digits,Remarks
,1,Line_number,Number,2,Number,2,
,2,Number_of_upper_slots,Number,2,Number,2,
,3,Number_of_lower_slots,Number,2,Number,2,
,,,,,,,
,,,,,,,
,1-2,Order_data,,40,,40,[ORDER.csv]
,No,Item,Type,Number of digits,Type,Number of digits,Remarks
,1,Center_code,Number,2,Number,2,
,2,Company_code,Number,4,Number,4,
,3,Division_code,Number,2,Number,2,
,4,Store_code,Number,3,Number,3,
,5,Carry-in_regulations,Number,1,Number,1,
,6,Shipping_priority,Number,2,Number,2,
,7,Delivery_time_limit,Number,4,Number,4,
,8,Regular_special_sale,Number,1,Number,1,
,9,Sorting_classification_code,Number,2,Number,2,
,10,Product_code,Number,13,Number,13,
,11,Shipping_packing,Number,1,Number,1,
,12,Number_of_orders,Number,"4,1",Number,"4,1",
,13,Total_Action_Step,Number,5,Number,5,
,,,,,,,
,,,,,,,
,1-3,Productivity_data,,8,,8,[PRODUCTIVITY.csv]
,No,Item,Type,Number of digits,Type,Number of digits,
,1,Work_start_time,Number,4,Number,4,
,2,Action_step,Number,4,Number,4,
,,,,,,,
,,,,,,,
,,,,,,,
2. Output file,,,,,,,
,2-1,Execution_result,,41,,41,[STATUS.csv]
,No,Item,Type,Number of digits,Type,Number of digits,
,1,Completion_code,Number,1,Number,1,
,2,Error_message,letter,40,letter,40,
,,,,,,,
,,,,,,,
,2-2,Execution_result,,64,,64,[SETTING.csv]
,No,Item,Type,Number of digits,Type,Number of digits,Remarks
,1,Sequencing_No,Number,2,Number,2,
,2,Allocation_line_No,Number,2,Number,2,
,3,Slot_allocation_No,Number,2,Number,2,
,4,Center_code,Number,2,Number,2,
,5,Company_code,Number,4,Number,4,
,6,Division_code,Number,2,Number,2,
,7,Store_code,Number,3,Number,3,
,8,Carry-in_regulations,Number,1,Number,1,
,9,Regular_special_sale,Number,1,Number,1,
,10,Sorting_classification_code,Number,2,Number,2,
,11,Slot_division,Number,1,Number,1,
,12,Total_number_of_ActionSteps,Number,5,Number,5,
,13,Total_number_of_balls,Number,5,Number,5,
,14,Total_number_of_pieces,Number,5,Number,5,
,15,Total_number_of_bags,Number,5,Number,5,
,16,Total_halves,Number,5,Number,5,
,17,Line_ActionStep_number,Number,7,Number,7,
,18,Line_ActionStep_average_ratio,Number,3,Number,3,
,19,Assumed_work_time,Number,7,Number,7,